"Data table for Figure 23. Death rates among children aged 1–14 years and persons aged 15–24 years, by leading causes of death: United States, 2006–2016",,,,,,,,,,,
Excel and PowerPoint: https://www.cdc.gov/nchs/hus/contents2017.htm#Figure_023,,,,,,,,,,,
Leading causes of death for children aged 1–14 years: 2006–2016,,,,,,,,,,,
,Cause of death1,,,,,,,,,,
Year,Heart disease,Cancer ,Unintentional injuries2,Congenital malformations3,Homicide,Suicide4,,,,,
,"Deaths per 100,000 population",,,,,,,,,,
2006,0.7,2.3,6.8,1.5,1.3,0.4,,,,,
2007,0.7,2.3,6.7,1.6,1.3,0.3,,,,,
2008,0.7,2.3,5.9,1.5,1.3,0.4,,,,,
2009,0.6,2.2,5.5,1.5,1.2,0.5,,,,,
2010,0.6,2.2,5.3,1.4,1.1,0.5,,,,,
2011,0.6,2.1,5.3,1.5,1.2,0.5,,,,,
2012,0.6,2.3,5.1,1.4,1.1,0.5,,,,,
2013,0.6,2.1,5.0,1.4,1.1,0.7,,,,,
2014,0.6,2.1,4.7,1.3,1.1,0.7,,,,,
2015,0.6,2.1,4.8,1.4,1.2,0.7,,,,,
2016,0.5,2.2,5.1,1.4,1.1,0.8,,,,,
,Standard error,,,,,,,,,,
2006,0.04,0.06,0.11,0.05,0.05,0.03,,,,,
2007,0.04,0.06,0.11,0.05,0.05,0.02,,,,,
2008,0.04,0.06,0.10,0.05,0.05,0.03,,,,,
2009,0.03,0.06,0.10,0.05,0.05,0.03,,,,,
2010,0.03,0.06,0.10,0.05,0.04,0.03,,,,,
2011,0.03,0.06,0.10,0.05,0.05,0.03,,,,,
2012,0.03,0.06,0.09,0.05,0.04,0.03,,,,,
2013,0.03,0.06,0.09,0.05,0.04,0.03,,,,,
2014,0.03,0.06,0.09,0.05,0.04,0.04,,,,,
2015,0.03,0.06,0.09,0.05,0.05,0.04,,,,,
2016,0.03,0.06,0.09,0.05,0.04,0.04,,,,,
Leading causes of death for persons aged 15–24 years: 2006–2016,,,,,,,,,,,
,Cause of death1,,,,,,,,,,
Year,Heart disease,Cancer ,Unintentional injuries2,Congenital malformations3,Homicide,Suicide,,,,,
,"Deaths per 100,000 population",,,,,,,,,,
2006,2.5,3.8,37.9,1.1,13.3,9.8,,,,,
2007,2.5,3.8,36.8,0.9,12.9,9.6,,,,,
2008,2.5,3.8,32.5,1.1,12.2,9.9,,,,,
2009,2.4,3.8,28.6,1.0,11.2,10.0,,,,,
2010,2.4,3.7,28.3,0.9,10.7,10.5,,,,,
2011,2.3,3.7,28.2,1.0,10.4,11.0,,,,,
2012,2.2,3.6,27.1,1.0,10.5,11.1,,,,,
2013,2.1,3.4,26.4,0.8,9.8,11.1,,,,,
2014,2.2,3.6,26.8,0.9,9.5,11.6,,,,,
2015,2.3,3.4,28.5,0.9,10.8,12.5,,,,,
2016,2.2,3.3,31.9,0.9,11.9,13.2,,,,,
,Standard error,,,,,,,,,,
2006,0.08,0.09,0.30,0.05,0.18,0.15,,,,,
2007,0.08,0.09,0.29,0.05,0.17,0.15,,,,,
2008,0.08,0.09,0.27,0.05,0.17,0.15,,,,,
2009,0.07,0.09,0.26,0.05,0.16,0.15,,,,,
2010,0.07,0.09,0.25,0.05,0.16,0.16,,,,,
2011,0.07,0.09,0.25,0.05,0.15,0.16,,,,,
2012,0.07,0.09,0.25,0.05,0.15,0.16,,,,,
2013,0.07,0.09,0.25,0.04,0.15,0.16,,,,,
2014,0.07,0.09,0.25,0.04,0.15,0.16,,,,,
2015,0.07,0.09,0.26,0.04,0.16,0.17,,,,,
2016,0.07,0.09,0.27,0.05,0.17,0.17,,,,,
"1Underlying causes of death are based on the International Classification of Diseases, 10th Revision (ICD–10).",,,,,,,,,,,
2Unintentional injuries is accidents.,,,,,,,,,,,
"3Congenital malformations is congenital malformations, deformations, and chromosomal abnormalities.",,,,,,,,,,,
4The majority of suicide deaths in children aged 1-14 years were among those aged 10–14 years.,,,,,,,,,,,
"NOTES: The leading causes of death in 2006 and 2016 are presented. See Appendix II, Cause of death; Cause-of-death ranking; Table IV. ",,,,,,,,,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality. See Appendix I, National Vital Statistics System (NVSS).",,,,,,,,,,,
,,,,,,,,,,,
"Health, United States, 2017",,,,,,,,,,,