year,alzheimers,cancer,automobile_crashes,diabetes,heart_disease,homicide,kidney_disease,lower_respiratory_disease,overdose,pnuemonia_and_influenza,stroke,suicide,terrorism
2006,24.27509262,192.3755511,15.98130373,24.28079006,210.7021869,6.137477512,0.189355911,41.7531459,9.226827575,18.87727616,27.4894511,11.12910041,0
2007,24.77565347,191.5734448,15.29290423,23.69674799,203.5141067,6.01730484,0.17727247,42.46704758,9.908003987,17.50051083,26.97828051,11.46328773,0
2008,27.10839715,190.7104595,13.78225308,23.20105227,201.8875968,5.781107804,0.166724781,46.39684301,10.23236351,18.50875265,26.26063287,11.83022487,0
2009,25.75304177,189.7936884,12.47019243,22.39614616,194.4453587,5.394894387,0.169507256,44.77371171,10.35232967,17.5022761,24.91952244,12.00958907,0
2010,27.04298191,190.985756,12.06041721,22.3714974,192.6677237,5.184852259,0.173605748,44.72291353,10.70169312,16.22598348,24.98011809,12.40892427,0
2011,27.27092565,189.8919605,11.96436684,23.69477383,190.2780424,5.138130717,0.158219765,45.87506678,11.64343426,17.27451743,24.5089798,12.66014869,0
2012,26.64328107,190.3957529,12.18518293,23.55167039,189.7869875,5.238058164,0.165969002,45.70964714,11.57386908,16.13053051,24.13112838,12.9130892,0
2013,26.81406741,189.8317793,11.76229291,23.90734115,192.0255051,5.017890823,0.158163362,47.19752885,12.28960955,18.02398041,23.81940232,12.98964059,0.00094898
2014,29.33634312,190.5992007,11.66510174,23.98817858,191.2838335,4.900314955,0.175313668,46.13383873,13.18208244,17.32030042,23.5917627,13.41102516,0
2015,34.39779911,190.4701784,12.34370781,24.74497293,195.6478466,5.452387636,0.182005522,48.23644116,14.77138146,17.75316081,23.46875643,13.73659452,0.001555603
2016,35.9310165,189.9658727,14.20482018,24.77597753,194.8066861,5.9119076,0.160927182,47.84365112,18.05324451,15.94943108,22.47874201,13.89018211,0