years,alzheimers,cancer,automobile_crashes,diabetes,heart_disease,homicide,kidney_disease,lower_respiratory_disease,overdose,pnuemonia_and_influenza,stroke,suicide,terrorism
2006,61.3,2199.043125,7.6249878,665.23025,110.521543,111.81576,94.232314,0.911404025,2.191598575,178.526041,17775.9792,167.3764,103.39952
2007,54.7,2136.618675,4.8541589,631.3381875,98.611139,126.964992,93.531702,1.18168246,2.841520911,160.612357,16666.8048,157.5831,79.112656
2008,55,2113.918875,4.0624935,613.209875,93.181396,131.774272,95.108079,1.11882701,2.690376181,154.747438,17075.448,158.4734,68.051312
2009,50.2,2159.318475,3.9999936,607.6925625,97.735374,134.65984,101.238434,0.949117295,2.282285412,159.714233,16900.3152,151.351,60.596928
2010,32.8,2042.982,2.5624959,594.293375,89.152877,122.63664,100.888128,1.137683645,2.7357196,85.774306,17513.28,149.5704,57.470896
2011,37.3,2122.4313,2.1874965,577.7414375,90.729254,153.89696,102.814811,0.67883886,1.632363076,89.417127,20169.4608,153.1316,52.421152
2012,29.6,2133.7812,1.5416642,573.8005,92.655937,164.958304,110.696696,0.810835305,1.949767008,74.381684,19644.0624,164.7055,43.043056
2013,24,2108.243925,1.5208309,576.1650625,87.5765,185.638208,111.747614,0.74169431,1.783507806,70.36193,19848.384,158.4734,44.966768
2014,26.6,2102.568975,1.7083306,587.987875,89.503183,187.56192,117.177357,0.986830565,2.37297225,70.748603,20519.7264,165.5958,43.764448
2015,30.8,2179.1808,1.8333304,602.9634375,88.977724,192.130736,128.387149,0.936546205,2.252056466,72.888345,21979.1664,198.5369,64.444352
2016,34.9,2173.50585,2.2499964,581.682375,88.802571,208.963216,133.641739,1.1313981,2.720605127,72.628615,23584.5504,316.9468,60.837392